system:index,evaporation_from_bare_soil_sum,date,.geo
20030415,-5.37E-04,2003-04-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030416,-5.33E-04,2003-04-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030417,-5.23E-04,2003-04-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030418,-4.76E-04,2003-04-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030419,-4.49E-04,2003-04-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030420,-4.89E-04,2003-04-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030421,-5.28E-04,2003-04-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030422,-4.98E-04,2003-04-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030423,-5.06E-04,2003-04-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030424,-4.44E-04,2003-04-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030425,-4.87E-04,2003-04-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030426,-4.49E-04,2003-04-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030427,-4.63E-04,2003-04-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030428,-4.51E-04,2003-04-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030429,-4.51E-04,2003-04-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030430,-4.42E-04,2003-04-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030501,-4.74E-04,2003-05-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030502,-4.70E-04,2003-05-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030503,-4.14E-04,2003-05-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030504,-4.01E-04,2003-05-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030505,-4.21E-04,2003-05-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030506,-4.14E-04,2003-05-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030507,-4.38E-04,2003-05-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
