Date,DPT,AP,WS,WSD,AT,Albedo,evaporation_from_bare_soil_sum,evaporation_from_vegetation_transpiration_sum,NDVI,precipitation,surface_net_solar_radiation_sum,surface_thermal_radiation_downwards_sum,volumetric_soil_water_layer_1,LST
2011-05-11,13.906445524838716,937.1028612299144,3.4454864083613503,112.85846774313404,300.94637923071235,0.1340606849348012,-0.000671,-0.000221,0.326438664939507,0.0,22132095.569059063,31900000.0,0.151438241,47.83504756588394
2011-05-12,14.46670456250962,937.0353398271455,3.412446633103944,110.56344989533476,300.7921531747956,0.1340572398629977,-0.000685,-0.000194,0.2571448919184362,0.0,23450212.174738288,31200000.0,0.150185132,42.94842310393545
2011-05-13,15.28706192187576,937.0046729118192,3.258386318647503,117.32700562507569,301.32332166129675,0.1338876189411776,-0.000685,-0.000167,0.2090214591998976,0.0,22805681.142037913,32000000.0,0.149288192,49.83945258659691
2011-05-14,15.393658128491891,937.076410961543,2.9710378417739784,124.14165783311672,301.95493730886955,0.1345634256061934,-0.000667,-0.000153,0.2437501819659931,0.0,21124920.206128463,32500000.0,0.148870316,45.96488296796184
2011-05-15,16.516158673184634,938.3217591235632,2.5671313577963715,110.78178936326584,302.3453136108299,0.1349309589869046,-0.000662,-0.000139,0.295367863553693,1.6491951019661046,21365591.330228243,33700000.0,0.149928737,47.50184532937053
2011-05-16,13.60159786036462,939.5316233572232,2.521371798761575,126.1766581635356,302.2433259290236,0.1348847048634935,-0.000441,-0.000182,0.3048855563197627,0.0150977721080073,14486253.529602837,35000000.0,0.151610878,43.56316876732774
2011-05-17,16.30242883928753,938.6240787373328,2.599045840821779,107.82053468540352,303.49690395602494,0.133909287961692,-0.000646,-0.000133,0.1603412522898952,1.3429909944232523,19773011.862973932,35300000.0,0.154969174,46.12994778787882
2011-05-18,18.1390908701992,938.0317043640086,2.676438680689051,111.36447341814574,302.2212547964042,0.1342119152674696,-0.000595,-0.00013,0.1080804570912655,0.0,19219032.821508262,35100000.0,0.158092338,44.55070023894248
2011-05-19,17.325534626435342,936.8384507328794,3.703169276574579,95.51998299776926,301.19853710881097,0.1335502086388385,-0.000617,-0.000196,0.323950166862789,0.0,22068582.4936193,33300000.0,0.15673295,41.604018097584856
2011-05-20,17.46981212779326,935.605451713458,4.386069373164396,87.50914339830263,300.51315662885935,0.1335572686805162,-0.00057,-0.000218,0.3061943266359089,0.0,22882299.258487824,32500000.0,0.154101099,47.042692241956715
2011-05-21,19.002373472474233,935.2761481648532,4.844911755155685,76.05146731720924,300.26677902527064,0.1333002900796545,-0.000452,-0.000193,0.2832659448723016,0.0,20836977.03530613,34000000.0,0.153186563,37.94663701947592
2011-05-22,19.899252078272525,936.714824502265,4.169751195800081,77.49028106452278,300.2391222770599,0.1324306059096446,-0.000351,-0.000143,0.2342893182656651,0.0621287298103284,17519945.624827627,35300000.0,0.157696063,40.90503402213824
