system:index,band,date,.geo
20100304,-0.010324130111932096,2010-03-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100305,-0.009915798310033893,2010-03-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100306,-0.009403219064692544,2010-03-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100307,-0.010572279158807834,2010-03-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100308,-0.011376039403731351,2010-03-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100309,-0.012668579054936797,2010-03-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100310,-0.012405995534254094,2010-03-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100311,-0.012442663776340105,2010-03-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100312,-0.011815546755872184,2010-03-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100313,-0.011598516892580724,2010-03-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
